slug,name,email,phone,categories,summary,logo_url
msubridges,"Bridges, MSU",salibaja@msu.edu,,,"MSU Bridges seeks to provide opportunities for MSU students to tutor MSU staff in English and workplace skills in collaboration with REHS, Case Hall, and MSU faculty. The goal is for the staff to feel more confident in their English and workplace skills and for MSU students to learn from the MSU staff as well through their interactions.",
bridges,Bridges International,Jheitz@msu.edu,,,"We are an organization for international and American students. By joining us, you can find friends from the US and around the world and find help adjusting to life in America and East Lansing. We describe ourselves as a Social network, Service, and a Spiritual resource. We have events throughout the semester. Once a week, we will meet for dinner and/or hangout. During the event you can make new friends, have meaningful discussion, and play fun games. Hope you can join us! https://youtu.be/o0nCkAMgFEE",
redglassesmovementchaptermsu,"Red Glasses Movement, Michigan State University Student Chapter ",rso.redglasses@msu.edu,,,"This movement was started in honor of a young girl with Down syndrome, named Audrey Lou. Audrey unfortunately passed away in 2018 and has left a long legacy based around the motto living boldly, loving big, and passing It on. Our club wants to spread positivity and love to college students in such challenging times. We want to bridge the gap between kids and adults with Down syndrome and other similar conditions. We plan on fundraising for various charities that support individuals with Down syndrome and to create impactful experiences by volunteering with the charities we are supporting. Our mission is to utilize Audrey’s philosophy of life and to encourage others to do the same by ensuring that individuals of all disabilities feel loved and included.",
pasosdelatierrafolklorica,Pasos de la Tierra Folkorica,trevin84@msu.edu,,,"Our mission is to celebrate and preserve the rich cultural heritage of Mexico through dance while fostering inclusivity and representation at Michigan State University. By incorporating diverse folkloric styles from all of Mexico’s states and honoring the deep-rooted traditions of indigenous dances, including Danza Azteca, we aim to bring the powerful stories, vibrant colors, and rhythms of our culture to the MSU community. We are committed to creating a space where all MSU students feel valued and connected to their roots, history, and each other. In doing so, we strive to build a stronger, more inclusive environment where everyone, especially those far from home, can find belonging. We honor our ancestors, embrace our traditions, and believe that through dance, we can bridge cultures, uplift voices, and cultivate respect for the richness of Mexican and indigenous identities.",
prestreetmed,Pre-Street Medicine,prestreetmedicine@gmail.com,,,We are an undergraduate organization that helps local groups bridge the gap between healthcare and the homeless population.,
csc,Chinese-American Student Coalition,cscmsu@gmail.com,,,"The purpose of the Chinese-American Student Coalition is to foster an environment that supports Chinese-American students and those interested in Chinese culture, providing a space that bridges the divide between Chinese and American identities. We host a multitude of events including our Rice Night, Mid-Autumn Festival (including lantern painting and moon cakes), annual Lunar New Year banquet celebration, and more! For those interested in attending events, please follow our Instagram @msucsc for the most up-to-date announcements.",
chineselearningcommunity,Chinese Learning Community,murph873@msu.edu,,,"We are a non-profit student organization with the goal of promoting learning about Chinese language and culture. We aim to build a bridge between Chinese learners and native speakers, facilitating the spread of knowledge outside of the classroom. We host in-person cultural & social events throughout the semester open to all MSU students with any level of interest and experience. 加油学习中文！",
spartansur,Spartan Sur,msu.spartansur@gmail.com,,,"Spartan Sur is Michigan State University's premier co-ed South Asian acapella team. Through the creation and performance of compositions that blend South Asian and Western styles, we strive to bridge the South Asian and acapella communities.",
balkanstudentsociety,Balkan Student Society,balkanstudentsociety@gmail.com,,,"The purpose of the Balkan Student Society is to culminate an inclusive community on campus by providing a comforting space for Michigan State students who share a common cultural heritage to form connections with one another. Our aim is to establish an on campus community for Balkan students to engage, connect, support, and share their traditions with each other and the entirety of Michigan State University. We hope to bridge the gap between different communities and promote intercultural dialogue and appreciation. Ultimately, we aspire to create a sense of belonging for Balkan students at Michigan State, while promoting multiculturalism and diversity on campus.",
dubois,W.E.B DuBois Society,rso.msudubois@msu.edu,,,"The W.E.B. Du Bois Society, founded in 1998 by Black students within James Madison College, is a vanguard organization dedicated to fostering a supportive community for Black students in public policy. Our mission is to empower and equip Black political thinkers with the tools, connections, and opportunities needed to influence and create equitable policies. We serve as a bridge to the broader Black political network, advocating for anti-discriminatory policies and fostering professional growth. We are committed to Building a supportive and inclusive community Empowering student voices Creating pathways to professional opportunities Encouraging collaboration and mentorship Championing equity and justice",
msubikes,MSU Bikes Service Center ,,,,"It started out in the spring of 2003 as a volunteer-run project and then received funding from the university to open its doors at the present location in the fall of 2006. MSU Bikes makes its home in the MSU Bikes Service Center, a full service bike shop on the campus of Michigan State University. It is a department under MSU Surplus & Recycling which is a division of MSU’s Infrastructure Planning and Facilities department. Michigan State University was upgraded in November 2015 as a silver level Bike Friendly University by the League of American Bicyclists. Read the MSU press release about the award here. Hours Open Mon: 10 am- 6 pm; Tues - Fri: 10 am-5 pm year-round (Except for University Holidays) History In the spring of 2003 Gus Gosselin, then director of Building Services for Infrastructure Planning and Facilities, and Terry Link, former director of the Office of Campus Sustainability, founded the MSU Bike Project. This all-volunteer effort was dedicated to transforming abandone",
reach,Reach Outside,reachoutsidemsu@gmail.com,,,"Do you enjoy working with kids? How about spending time outdoors? What about volunteering with kids in the outdoors?!?! If you said yes, consider joining REACH OUTSIDE!!!! We meet every other Tuesday at 6:30pm in Wells Hall. We are a registered student organization and nonprofit dedicated to providing opportunities for disadvantaged and underserved youth in the Lansing area to get involved in outdoor activities like rock climbing, skiing, snow tubing, canoeing and hiking. You do not have to have any experience doing these kinds of outdoor activities to join! Additionally, we want to encourage our participants to set goals, overcome challenges, gain confidence, exercise creativity and connect with positive mentors. There are so many health benefits to an outdoor and active lifestyle such as increased concentration, boosted mood and stress relief. However, many kids in East Lansing don't have exposure to the kinds of outdoor sports Michigan has to offer or the necessary means to particip",
spartan_moto_racing,"Motorcycle Racing Team, Michigan State University ",,,,"The purpose of this organization shall be to empower Michigan State University students to explore, design, build, and race motorcycles through hands-on engineering challenges, competitive racing, and industry engagement. The need of the organization is to fill a unique gap in the motorsport racing space focusing on high performance motorcycles and racing applications.",
aiga,AIGA Student Professional Association,michiganstateaiga@gmail.com,,,"AIGA (American Institute of Graphic Arts) is the largest national professional association for design. As the MSU student chapter, our focus is to connect graphic designers and creatives of all majors with one another to engage in professional development and build a peer-based support network for navigating the design world. Members of our chapter can expect to attend meetings like resume and internship workshops, industry events like lectures and portfolio reviews, and exclusive access to design projects and exhibition space. Our group builds a strong peer support network where designers connect, collaborate, and help each other grow. By building unique relationships within our community, we create space for opportunities, recommendations, and connections that extend beyond class and into employment. Meetings on Wednesdays in Kresge at 7pm! Find our socials, email-list, and more at: https://linktr.ee/msuaiga - Email: MichiganStateAIGA@gmail.com Instagram: @MichiganStateAIGA Facebook:",
mtcmsu,Muslim Tech Collaborative MSU,mallick9@msu.edu,,,"The Muslim Tech Collaborative (MTC) at MSU is a student-led organization that empowers Muslim undergraduates and graduate students pursuing technology and engineering careers. We host hands-on workshops on topics ranging from web development and machine learning to cybersecurity best practices, alongside speaker panels featuring alumni and industry leaders. Through hackathons, team-based capstone projects and “code & chill” study sessions, members develop real-world skills in a supportive, faith-affirming environment. We meet twice weekly—on Tuesdays to explore technology through an Islamic lens with occasional guest speakers, and in a second session designed as an open coworking space for focused collaboration. Career-prep events—resume clinics, mock interviews and company office visits—help translate technical expertise into internship and job offers. By weaving Islamic values of ethics, social justice and community service into every event, MTC not only builds your résumé, but also ",
spartansynbio,Spartan SynBio,spartansynbio@gmail.com,,,"Spartan SynBio explores the cutting-edge world of genetic engineering and research to build an interdisciplinary team of students to talk with students about opportunities in synthetic biology and the job market. We host talks with industry experts from innovative biotech companies, educate members on foundational and advanced synthetic biology concepts, and prepare a team to compete in the prestigious iGEM competition. The iGEM is the most prestigious bioengineering/synthetic biology competition and here in Spartan SynBio we have the goal of winning the competition and bringing home the gold. We have opportunities for internships for research over the summer for those who are committed to our vision. Join us to design with DNA, network with pioneers, and drive the future of biology and bioengineering forward! The solutions we come up with here can affect change in the lives of many for the bettering of science.",
tssc,Transfer Student Success Center (TSSC),transfersuccess@msu.edu,,,"The Transfer Student Success Center (TSSC) is an innovative space within the Transitions and Transfer Student Success designed to eliminate barriers to MSU transfer student success (i.e., time to graduation; retention) through a collaborative effort with internal and external partners.",
buildon,buildOn Michigan State ,kimracha@msu.edu,,,"buildOn is an international non profit organization and its goal as an organization is to break the cycle of poverty, illiteracy, and low expectations through service and education. Our goal is to raise funds to donate, travel, and assist in building schools in underserved countries and empower students in the Lansing community to become leaders through education services and mentorship programs Our team at Michigan State University is a registered student organization (RSO) committed to furthering this mission by fundraising and advocating for global education initiatives. We are an independent student-led organization and not officially affiliated with Michigan State University. Our fundraising efforts directly support buildOn's initiatives, and we appreciate your support in making a difference!",
drift,Drone Research and Innovative Flight Technologies,mullaabd@msu.edu,,,"Michigan State University Drone Research and Innovative Flight Technology (DRIFT) is an award-winning student research group making profound progress in autonomous drone technology. With thousands of design and flight hours, DRIFT continues to build a strong reputation as a reliable platform for young engineers to apply and refine their technical skills. As a 2x NASA USRC recipient, DRIFT is expanding its roots to enrich the educational experience of countless students while continuing to develop cutting-edge solutions for vertical take-off and landing vehicles. By providing a safe and professional environment, all students are given the opportunity to apply their technical knowledge to critical projects with varying degrees of difficulty. Whether it's research, competition, or conventions, DRIFT challenges its researchers to continue pushing boundaries with UAVs. With the motto ""Spartans Will"" in mind, DRIFT works to represent MSU as a leader in our field with the tools for change. Ou",
aclu-msulaw,American Civil Liberties Union MSU COL Chapter,sharke27@msu.edu,,,"Our purpose is to discuss, learn, and advance civil liberties on campus and off-campus. We host events on current social issues, encourage volunteer work in the community, and work with other MSU Law student organizations to raise awareness of civil liberties issues.",
chiepsilon,Chi Epsilon, rso.chiepsilon@msu.edu,,,"Chi Epsilon, the National Civil Engineering Honor Society, provides students (civil and environmental engineering) in the top third of their class with various opportunities, ranging from job/internship recruiting events to community service/volunteering. Being a member of Chi Epsilon also unlocks a network of other top civil/environmental engineering students and professionals alike, meaning mentorship and appeal from companies.",
middleground,"Middle Ground, MSU",connorl3@msu.edu,,,"The purpose of the Michigan State University Middle Ground Club is to facilitate civil, productive conversations on various political topics. We aim to find common ground between differing political views, challenging members to think critically about issues and understand the perspectives that shape others’ beliefs. It will be a way to enhance critical thinking skills especially for understanding and solving complex and current political issues",
studentpirgs,Student Public Interest Research Group,msupirgim@gmail.com,,,"Students have the power to shape the future we will inherit. We work with professional staff at colleges and universities to make sure our peers have the skills, opportunities and training they need to create a better, more sustainable future for all of us. Our chapters and clubs on nearly 100 campuses in 25 states provide the training, professional support and resources students need to tackle climate change, protect public health, revitalize our democracy, feed the hungry and more. Students have been at the forefront of social change throughout history, from civil rights, to voting rights to protecting the environment. For nearly 50 years we’ve helped students to get organized, mobilized and energized so they can continue to be on the cutting edge of positive change.",
battalionarmy,Spartan Battalion Army ROTC,Armyrotc@msu.edu,,,"The Spartan Battalion MSU RSO blends the Army Values of loyalty, duty, respect, selfless service, integrity and personal courage with the Spartan Values of individual strength, collective power and extraordinary achievement. The organization will not discriminate on the basis of age, color, gender, gender identity, disability status, height, marital status, national origin, political persuasion, race, religion, sexual orientation, veteran status, or weight. Also, only MSU students may be officers and/or voting members. All cadet fundraising activities will conform with the requirements of Cadet Command SOP, Procedure 0009 dated August 13, 2004. Fundraising activities will comply with the following: The Cadre Advisor and Professor of Military Science provide oversight of cadet fundraising activities. Cadre members will not engage in fundraising activities. Cadet fundraising activities may consist of donations, donations for goods or performance of services, and University sponsored fund",
me-gsa,Mechanical Engineering Graduate Student Association,erick281@msu.edu,,,"The ME-GSA is all about connecting and empowering graduate students in the ME Department! We host social events, career development workshops, and collaborate with faculty to ensure grad student voices are heard. Our goal is to foster a supportive, inclusive, and vibrant community that helps students thrive academically, professionally, and personally. Our Mission : To create a space where Mechanical Engineering graduate students can build connections, develop their skills, and have their voices represented in department matters. Our Goals : Strengthen community and support among ME graduate students. Provide opportunities for professional development and career growth. Facilitate open communication between students and faculty. Advocate for the needs and concerns of the graduate student body. Meetings : We meet at least once every semester for general updates and planning, with additional events and socials throughout the semester. Get Involved : Joining is easy—if you're an ME gradua",
pitausigma,Pi Tau Sigma,nitin.niranjan04@gmail.com,,,"Organization of high achieving Mechanical Engineering students designed to increase participation in academic, social, and service events with similarly-minded peers. We initiate the top-performing mechanical engineering juniors and seniors each semester.",
adama,Advanced Additive Manufacturing,delemee4@msu.edu,,,"The purpose of this organization is to bring together like minded individuals who share an interest in additive manufacturing of polymers and polymer composites. We encourage all levels of experience to consider joining and to share your past and future projects for everyone to learn from. The organization includes topics in material science and chemical engineering, as well as mechanical and electrical engineering. Individuals with other backgrounds in modeling or art are also encouraged to join.",
bladesmithing,"Bladesmithing, MSU",RSO.msubladesmithing@msu.edu,,,"The Bladesmithing Team at Michigan State is a group focused on teaching and applying engineering fundamentals to bladesmithing. The team consists mainly of material science and engineering undergraduates which leads to a focus on heat treatment, microstructure, and mechanical properties in the process of crafting a blade. The main goal of the team is to create a competition quality knife for the TMS Bladesmithing Competition that occurs every other year. The team has recently undergone a restart and plans on entering its first competition in 2026.",
msuarc,Amateur Radio Club,msuamateurradioclub@gmail.com,,,"The first radio station at Michigan State University was established through the efforts of the Amateur Radio Club in 1919 using the call letters of 8YG - broadcasting weather reports and farm market prices. In 1925 8YG became WKAR, the public broadcast station of Michigan State University, while a ham radio station was formed using the call letters 8XBU. In 1927 the call 8SH was issued to the amateur radio station. Today the MSU Amateur Radio Club operates W8SH and W8MSU from the campus in East Lansing. Please see our main website for more information on who we are, what we do, how to become a member, and about HAM radio in general: MSU Amateur Radio Club – Amateur Radio at Michigan State University You can also join our Discord page: https://discord.gg/MhWr3eefHE We would be happy to answer any questions you may have, and club members are frequently willing to meet and give tours of our 'shack' in Engineering Building room 2121.",
msuaiclub,Artificial Intelligence Club at Michigan State University,msuaiclub@gmail.com,,,"We are a fast-growing club at Michigan State University driven by the passion and curiosity for one of the most promising branches of Computer Science: Artificial Intelligence. Our mission is to empower students with the knowledge of Artificial Intelligence through an inclusive environment that closes the gap between curiosity and hands-on practice in the field. We want to become Michigan State University’s hub for the learning and application of Artificial Intelligence among undergraduate students. Interested in becoming a member? Visit our website , where you can find more information about our club.",
imagine,Imagine Software Club at MSU,imaginesoftwaremsu@gmail.com,,,I nterested in becoming a member? Join our discord to receive updates on our next meeting information! Imagine Software Club Discord,
spartanhackers,Spartan Hackers,contact.spartanhackers@gmail.com,,,"Spartan Hackers exists to foster a community of technological innovation, collaboration, and creation at Michigan State University. About Us & What We Do? // Short Answer: A MSU CSE Club that Codes Projects to Get Money/Prizes/Internships and hosts the largest CS community. Hackathons The majority of what we do is go to Hackathons! Hackathons are 24-48 hour coding competitions and the fastest way to build real projects. While you're hacking, you can get to know representatives from companies like Google, Facebook, Microsoft, and more! Plus, every hackathon is filled to the brim with free food. Another plus, all hackathons we go to hand out prizes for winning projects. The highest 1st prize we've seen so far $10,000 CASH, but usually it's been a Nintendo Switch + $500 for each team member on average these days. Visit Devpost.com to see past Hackathons and projects! Workshops Spartan Hackers hosts events where students hang out, work on projects, share ideas, and learn about cool new tec",
msuus,Unmanned Systems,msuus2024@outlook.com,,,"Join us as we compete in the collegiate drone competition known as SUAS (Small Unmanned Aerial Systems). Our goal is to design, build, and test a drone that can successfully complete the tasks required by the competition. All disciplines of engineering are welcome! If you are interested in jointing please reach out to one of the members of leadership! Meetings are Sunday at 12 in room 402 of the Computer Center.",
security,Spartan Cybersecurity Club,RSO.SSS@msu.edu,,,"Spartan Cybersecurity Club is the cybersecurity and ethical hacking club at Michigan State University. We hold weekly meetings where we practice hands-on cybersecurity skills through Capture-The-Flag (CTF) challenges and discuss concepts related to cybersecurity. We also host workshops to teach ethical hacking skills, from Reverse Engineering to Car Hacking to Blockchain Security. Through collaboration with our industry partners, we hope to create an exciting and collaborative learning environment to prepare students for a career in cybersecurity. The Organization pursues the following goals: a) learn and promote ethical and responsible approach towards computer security; b) educate MSU students how to secure computer systems through learning the methods and tactics used by malicious attackers; c) practice the skills of penetration testing, security defense, and “white hat” (ethical) hacking; d) maintain awareness of the recent research in cybersecurity.",
msuinfosci,"Information Science Club, MSU",perumalm@msu.edu,,,"The MSU Information Science Club is a student led organization open to all majors. We welcome anyone interested in technology, design, data, media, and the impact of information on society. Our goal is to create a collaborative space where students can explore how tech shapes the world, from UX and privacy to policy and digital culture. We host speaker events, workshops, and networking opportunities to help members build practical skills, connect with professionals, and grow in their careers. Whether you're studying computer science, communication, or anything else in between, this club is a place to learn, share ideas, and most importantly get involved.",
msuit,Michigan State University Information Technology,ithelp@msu.edu,,,"Welcome to Michigan State University! We are Michigan State's Information Technology Department, more commonly known as MSU IT. Here are some things you need to know about the technology tools and services that MSU IT offers. You can also watch this video to get a download of everything that is important. GETTING STARTED AT MSU MSU NetID - your NetID is an electronic identity at MSU and serves as your login to many university applications and systems. How to get online - connecting to the MSU network, Internet & Wi-Fi. MSU Laptop Requirement - what you need and visit the MSU Tech Store for all of your technology needs. New Student Information - provides you with basic information to get you started with technology at MSU, including computer lab locations, common tools you’ll use to collaborate or support your coursework, how to print on campus, and more. TECH HELP & SUPPORT MSU IT is always here for support. Phone 517-432-6200 or toll free at (844) 678-6200 - call us from 7 a.m. to mid",
auto,Spartans Autonomous Racing Club,rso.sparc@msu.edu,,,"The Spartan Autonomous Racing Club is a group for students who are passionate about the new technology being developed for all kinds of self-driving and unmanned vehicles. Our partnership with the Italian racing team Polimove in the Indy Autonomous Challenge gives us a front row seat to the advances in cutting-edge perception and controls software being deployed on professional racecars in the world's most competitive autonomous racing league. If you want to be a part of the future of autonomous driving, look no further.",
gdgmsu,Google Developer Groups,varadhad@msu.edu,,,"Google Developer Groups is university based community group for students interested in Google developer technologies. Students who participate in GDG, grow their knowledge in peer-to-peer learning environments and build solutions for local businesses in their communities.",
